PathName	X	Y
phithiendong_1	1679	3391
phithiendong_1	1660	3403
phithiendong_1	1645	3410
phithiendong_1	1637	3388
phithiendong_1	1625	3378
phithiendong_1	1635	3365
phithiendong_1	1649	3356
phithiendong_1	1674	3339
phithiendong_1	1675	3321
phithiendong_1	1687	3313
phithiendong_1	1685	3284
phithiendong_1	1666	3271
phithiendong_1	1646	3255
phithiendong_1	1640	3228
phithiendong_1	1627	3212
phithiendong_1	1611	3207
phithiendong_1	1591	3201
phithiendong_1	1575	3187
phithiendong_1	1553	3173
phithiendong_1	1532	3172
phithiendong_1	1516	3190
phithiendong_1	1500	3205
phithiendong_1	1478	3229
phithiendong_1	1463	3250
phithiendong_1	1477	3260
phithiendong_1	1488	3282
phithiendong_1	1470	3302
phithiendong_1	1450	3323
phithiendong_1	1450	3339
phithiendong_1	1448	3362
phithiendong_1	1434	3378
phithiendong_1	1422	3380
phithiendong_1	1406	3399
phithiendong_1	1395	3401
phithiendong_1	1381	3391
phithiendong_1	1368	3393
phithiendong_1	1348	3394
phithiendong_1	1335	3396
phithiendong_1	1328	3406
phithiendong_1	1320	3410
phithiendong_1	1309	3415
phithiendong_1	1322	3427
phithiendong_1	1325	3450
phithiendong_1	1315	3468
phithiendong_1	1325	3478
phithiendong_1	1337	3481
phithiendong_1	1346	3484
phithiendong_1	1353	3499
phithiendong_1	1372	3515
phithiendong_1	1382	3527
phithiendong_1	1395	3532
phithiendong_1	1411	3554
phithiendong_1	1427	3570
phithiendong_1	1453	3587
phithiendong_1	1470	3600
phithiendong_1	1481	3584
phithiendong_1	1497	3564
phithiendong_1	1510	3548
phithiendong_1	1523	3530
phithiendong_1	1541	3509
phithiendong_1	1561	3482
phithiendong_1	1554	3482
phithiendong_1	1568	3466
phithiendong_1	1579	3446
phithiendong_2	1600	3395
phithiendong_2	1611	3382
phithiendong_2	1635	3384
phithiendong_2	1645	3402
phithiendong_2	1635	3424
phithiendong_2	1633	3448
phithiendong_2	1643	3475
phithiendong_2	1658	3489
phithiendong_2	1671	3492
phithiendong_2	1687	3501
phithiendong_2	1702	3517
phithiendong_2	1723	3525
phithiendong_2	1745	3525
phithiendong_2	1753	3541
phithiendong_2	1757	3557
phithiendong_2	1745	3573
phithiendong_2	1724	3593
phithiendong_2	1709	3604
phithiendong_2	1696	3612
phithiendong_2	1682	3628
phithiendong_2	1668	3626
phithiendong_2	1651	3623
phithiendong_2	1640	3625
phithiendong_2	1621	3634
phithiendong_2	1615	3646
phithiendong_2	1598	3666
phithiendong_2	1585	3676
phithiendong_2	1571	3669
phithiendong_2	1560	3669
phithiendong_2	1552	3669
phithiendong_2	1536	3661
phithiendong_2	1517	3654
phithiendong_2	1509	3658
phithiendong_2	1494	3649
phithiendong_2	1479	3631
phithiendong_2	1468	3616
phithiendong_2	1467	3587
phithiendong_2	1488	3578
phithiendong_2	1497	3562
phithiendong_2	1510	3546
phithiendong_2	1512	3530
phithiendong_2	1511	3522
phithiendong_2	1499	3511
phithiendong_2	1486	3499
phithiendong_2	1489	3470
phithiendong_2	1494	3464
phithiendong_2	1507	3459
phithiendong_2	1514	3450
phithiendong_2	1517	3429
phithiendong_2	1524	3418
phithiendong_2	1538	3414
phithiendong_2	1539	3389
phithiendong_2	1532	3375
phithiendong_2	1533	3353
phithiendong_2	1547	3350
phithiendong_2	1558	3355
phithiendong_2	1574	3348
phithiendong_2	1591	3345
phithiendong_2	1602	3355
phithiendong_2	1621	3374
phithiendong_2	1631	3379
phithiendong_2	1642	3360
phithiendong_2	1659	3352
phithiendong_2	1672	3328
