PathName	X	Y
lamduquan_1	2031	3286
lamduquan_1	2018	3311
lamduquan_1	2001	3332
lamduquan_1	1985	3334
lamduquan_1	1967	3324
lamduquan_1	1952	3309
lamduquan_1	1928	3304
lamduquan_1	1915	3324
lamduquan_1	1905	3357
lamduquan_1	1897	3389
lamduquan_1	1895	3423
lamduquan_1	1895	3452
lamduquan_1	1888	3489
lamduquan_1	1881	3511
lamduquan_1	1875	3539
lamduquan_1	1867	3556
lamduquan_1	1853	3582
lamduquan_1	1838	3567
lamduquan_1	1810	3549
lamduquan_1	1790	3530
lamduquan_1	1767	3500
lamduquan_1	1752	3491
lamduquan_1	1734	3494
lamduquan_1	1719	3504
lamduquan_1	1697	3521
lamduquan_1	1687	3530
lamduquan_1	1669	3553
lamduquan_1	1654	3565
lamduquan_1	1637	3578
lamduquan_4	1797	3558
lamduquan_4	1808	3588
lamduquan_4	1820	3610
lamduquan_4	1831	3627
lamduquan_4	1839	3606
lamduquan_4	1850	3578
lamduquan_4	1878	3578
lamduquan_4	1888	3579
lamduquan_4	1901	3591
lamduquan_4	1916	3611
lamduquan_4	1919	3616
lamduquan_4	1929	3627
lamduquan_4	1956	3622
lamduquan_4	1977	3632
lamduquan_4	1996	3631
lamduquan_4	1996	3601
lamduquan_4	1984	3552
lamduquan_4	1974	3568
lamduquan_4	1956	3584
lamduquan_4	1950	3561
lamduquan_4	1939	3528
lamduquan_4	1947	3496
lamduquan_4	1957	3502
lamduquan_4	1965	3513
lamduquan_4	1979	3507
lamduquan_4	1993	3524
lamduquan_4	2009	3528
lamduquan_4	2009	3499
lamduquan_4	1983	3472
lamduquan_4	1979	3458
lamduquan_4	1977	3423
lamduquan_4	1977	3405
lamduquan_4	2002	3403
lamduquan_4	1994	3378
lamduquan_4	1991	3348
lamduquan_4	1987	3313
lamduquan_4	1973	3286
lamduquan_4	1967	3262
lamduquan_4	1962	3231
lamduquan_4	1947	3244
lamduquan_4	1946	3236
lamduquan_4	1923	3237
lamduquan_4	1908	3227
lamduquan_4	1908	3258
lamduquan_4	1894	3267
lamduquan_4	1880	3288
lamduquan_4	1870	3274
lamduquan_4	1850	3273
lamduquan_4	1837	3290
lamduquan_4	1815	3257
lamduquan_4	1797	3284
lamduquan_4	1794	3304
lamduquan_4	1796	3316
lamduquan_4	1777	3334
lamduquan_4	1764	3349
lamduquan_4	1774	3367
lamduquan_4	1742	3302
lamduquan_4	1745	3337
lamduquan_4	1767	3352
lamduquan_4	1782	3380
lamduquan_4	1792	3393
lamduquan_4	1802	3392
lamduquan_4	1816	3418
lamduquan_4	1789	3447
lamduquan_3	1714	3505
lamduquan_3	1713	3476
lamduquan_3	1706	3446
lamduquan_3	1713	3433
lamduquan_3	1704	3401
lamduquan_3	1692	3391
lamduquan_3	1683	3393
lamduquan_3	1674	3413
lamduquan_3	1659	3428
lamduquan_3	1646	3413
lamduquan_3	1628	3406
lamduquan_3	1632	3385
lamduquan_3	1635	3371
lamduquan_3	1614	3356
lamduquan_3	1614	3339
lamduquan_3	1614	3327
lamduquan_3	1626	3320
lamduquan_3	1633	3334
lamduquan_3	1654	3330
lamduquan_3	1648	3303
lamduquan_3	1639	3277
lamduquan_3	1662	3272
lamduquan_3	1669	3275
lamduquan_3	1668	3290
lamduquan_3	1679	3301
lamduquan_3	1690	3290
lamduquan_3	1699	3298
lamduquan_3	1710	3322
lamduquan_3	1722	3333
lamduquan_3	1737	3356
lamduquan_3	1745	3375
lamduquan_3	1757	3403
lamduquan_3	1776	3409
lamduquan_3	1788	3432
lamduquan_3	1804	3451
lamduquan_3	1815	3474
lamduquan_3	1824	3460
lamduquan_3	1847	3448
lamduquan_3	1860	3465
lamduquan_3	1877	3479
lamduquan_3	1875	3459
lamduquan_3	1869	3447
lamduquan_3	1868	3421
lamduquan_3	1860	3395
lamduquan_3	1858	3386
lamduquan_3	1843	3384
lamduquan_3	1842	3360
lamduquan_3	1833	3336
lamduquan_3	1823	3311
lamduquan_3	1809	3328
lamduquan_3	1800	3320
lamduquan_3	1786	3292
lamduquan_3	1775	3276
lamduquan_3	1763	3271
lamduquan_3	1750	3256
lamduquan_3	1734	3272
lamduquan_3	1742	3302
